Array_No,Type,Size,Passes,Comparisons,Shifts
716,S,944,943,445096,229608
717,S,944,943,445096,224628
718,S,944,943,445096,214780
719,A,944,943,445096,0
720,D,944,943,445096,444670
AVG,AVG,944,943,445096,223356
721,S,848,847,359128,181865
722,S,848,847,359128,175687
723,S,848,847,359128,174640
724,S,848,847,359128,184528
725,S,848,847,359128,177258
726,S,848,847,359128,174099
727,S,848,847,359128,179134
728,S,848,847,359128,188260
729,A,848,847,359128,0
730,D,848,847,359128,358725
AVG,AVG,848,847,359128,179420
731,S,527,526,138601,72438
732,S,527,526,138601,68321
733,S,527,526,138601,70606
734,S,527,526,138601,65725
735,S,527,526,138601,70503
736,S,527,526,138601,66773
737,S,527,526,138601,69201
738,S,527,526,138601,70193
739,A,527,526,138601,0
740,D,527,526,138601,138465
AVG,AVG,527,526,138601,69222.5
741,S,753,752,283128,139840
742,S,753,752,283128,141227
743,S,753,752,283128,138170
744,S,753,752,283128,139528
745,S,753,752,283128,136430
746,S,753,752,283128,143962
747,S,753,752,283128,148316
748,S,753,752,283128,140418
749,A,753,752,283128,0
750,D,753,752,283128,282818
AVG,AVG,753,752,283128,141071
751,S,656,655,214840,110074
752,S,656,655,214840,108838
753,S,656,655,214840,106351
754,S,656,655,214840,111655
755,S,656,655,214840,106796
756,S,656,655,214840,106956
757,S,656,655,214840,108258
758,S,656,655,214840,108568
759,A,656,655,214840,0
760,D,656,655,214840,214633
AVG,AVG,656,655,214840,108213
761,S,812,811,329266,160199
762,S,812,811,329266,164903
763,S,812,811,329266,167964
764,S,812,811,329266,163783
765,S,812,811,329266,162807
766,S,812,811,329266,165638
767,S,812,811,329266,167705
768,S,812,811,329266,157414
769,A,812,811,329266,0
770,D,812,811,329266,328964
AVG,AVG,812,811,329266,163938
771,S,517,516,133386,68421
772,S,517,516,133386,68443
773,S,517,516,133386,64392
774,S,517,516,133386,65538
775,S,517,516,133386,69663
776,S,517,516,133386,69309
777,S,517,516,133386,65256
778,S,517,516,133386,63736
779,A,517,516,133386,0
780,D,517,516,133386,133243
AVG,AVG,517,516,133386,66800.1
781,S,687,686,235641,115794
782,S,687,686,235641,119667
783,S,687,686,235641,115758
784,S,687,686,235641,120694
785,S,687,686,235641,117320
786,S,687,686,235641,119774
787,S,687,686,235641,113105
788,S,687,686,235641,120623
789,A,687,686,235641,0
790,D,687,686,235641,235406
AVG,AVG,687,686,235641,117814
791,S,123,122,7503,3916
792,S,123,122,7503,3549
793,S,123,122,7503,3912
794,S,123,122,7503,3828
795,S,123,122,7503,3458
796,S,123,122,7503,3453
797,S,123,122,7503,3588
798,S,123,122,7503,3739
799,A,123,122,7503,0
800,D,123,122,7503,7496
AVG,AVG,123,122,7503,3693.9
801,S,367,366,67161,34770
802,S,367,366,67161,33288
803,S,367,366,67161,33898
804,S,367,366,67161,35268
805,S,367,366,67161,34173
806,S,367,366,67161,32981
807,S,367,366,67161,33309
808,S,367,366,67161,32102
809,A,367,366,67161,0
810,D,367,366,67161,67083
AVG,AVG,367,366,67161,33687.2
811,S,103,102,5253,2531
812,S,103,102,5253,2592
813,S,103,102,5253,2795
814,S,103,102,5253,2446
815,S,103,102,5253,2539
816,S,103,102,5253,2689
817,S,103,102,5253,2721
818,S,103,102,5253,2733
819,A,103,102,5253,0
820,D,103,102,5253,5245
AVG,AVG,103,102,5253,2629.1
821,S,204,203,20706,10996
822,S,204,203,20706,10290
823,S,204,203,20706,10201
824,S,204,203,20706,10178
825,S,204,203,20706,10676
826,S,204,203,20706,10756
827,S,204,203,20706,9672
828,S,204,203,20706,10470
829,A,204,203,20706,0
830,D,204,203,20706,20688
AVG,AVG,204,203,20706,10392.7
831,S,633,632,200028,101498
832,S,633,632,200028,101239
833,S,633,632,200028,97078
834,S,633,632,200028,98279
835,S,633,632,200028,103443
836,S,633,632,200028,100409
837,S,633,632,200028,98840
838,S,633,632,200028,103531
839,A,633,632,200028,0
840,D,633,632,200028,199837
AVG,AVG,633,632,200028,100415
841,S,507,506,128271,64542
842,S,507,506,128271,64122
843,S,507,506,128271,65225
844,S,507,506,128271,62944
845,S,507,506,128271,63200
846,S,507,506,128271,63844
847,S,507,506,128271,63704
848,S,507,506,128271,63600
849,A,507,506,128271,0
850,D,507,506,128271,128125
AVG,AVG,507,506,128271,63930.6
851,S,206,205,21115,10485
852,S,206,205,21115,9716
853,S,206,205,21115,10982
854,S,206,205,21115,10700
855,S,206,205,21115,10949
856,S,206,205,21115,9740
857,S,206,205,21115,10837
858,S,206,205,21115,10476
859,A,206,205,21115,0
860,D,206,205,21115,21097
AVG,AVG,206,205,21115,10498.2
861,S,541,540,146070,72637
862,S,541,540,146070,66952
863,S,541,540,146070,74966
864,S,541,540,146070,72042
865,S,541,540,146070,70802
866,S,541,540,146070,70753
867,S,541,540,146070,74054
868,S,541,540,146070,72597
869,A,541,540,146070,0
870,D,541,540,146070,145921
AVG,AVG,541,540,146070,72072.4
871,S,638,637,203203,94990
872,S,638,637,203203,101656
873,S,638,637,203203,103165
874,S,638,637,203203,103928
875,S,638,637,203203,100464
876,S,638,637,203203,103432
877,S,638,637,203203,104676
878,S,638,637,203203,102615
879,A,638,637,203203,0
880,D,638,637,203203,202985
