Array_No,Type,Size,Comparisons,Swaps
767,S,812,9043,3675
768,S,812,8053,3913
769,A,812,329266,0
770,D,812,241123,485
AVG,AVG,812,63772.6,3125.1
771,S,517,5003,2377
772,S,517,5236,2064
773,S,517,5192,2442
774,S,517,5181,2225
775,S,517,4612,2111
776,S,517,5097,2610
777,S,517,4538,1780
778,S,517,5681,2185
779,A,517,133386,0
780,D,517,103750,302
AVG,AVG,517,27767.6,1809.6
781,S,687,7222,3188
782,S,687,7106,2886
783,S,687,7043,2599
784,S,687,7503,3698
785,S,687,6803,3046
786,S,687,6894,3147
787,S,687,7310,3409
788,S,687,6995,3495
789,A,687,235641,0
790,D,687,176675,410
AVG,AVG,687,46919.2,2587.8
791,S,123,761,350
792,S,123,974,462
793,S,123,755,352
794,S,123,827,337
795,S,123,789,368
796,S,123,848,332
797,S,123,801,296
798,S,123,750,337
799,A,123,7503,0
800,D,123,7247,63
AVG,AVG,123,2125.5,289.7
801,S,367,3276,1681
802,S,367,3538,1808
803,S,367,3667,1406
804,S,367,3023,1452
805,S,367,3436,1320
806,S,367,3217,1463
807,S,367,3317,1368
808,S,367,3274,1461
809,A,367,67161,0
810,D,367,55634,207
AVG,AVG,367,14954.3,1216.6
811,S,103,604,286
812,S,103,604,244
813,S,103,631,222
814,S,103,660,256
815,S,103,649,264
816,S,103,632,289
817,S,103,647,285
818,S,103,755,330
819,A,103,5253,0
820,D,103,4635,54
AVG,AVG,103,1507,223
821,S,204,1693,784
822,S,204,1814,713
823,S,204,1533,575
824,S,204,1413,684
825,S,204,1815,918
826,S,204,1454,731
827,S,204,1591,715
828,S,204,1574,790
829,A,204,20706,0
830,D,204,19474,108
AVG,AVG,204,5306.7,601.8
831,S,633,5883,2625
832,S,633,6419,3291
833,S,633,6248,2681
834,S,633,6483,2551
835,S,633,6222,2668
836,S,633,6381,2915
837,S,633,5749,2449
838,S,633,7700,3190
839,A,633,200028,0
840,D,633,153245,376
AVG,AVG,633,40435.8,2274.6
841,S,507,4631,2019
842,S,507,4717,2139
843,S,507,4528,1882
844,S,507,4868,1718
845,S,507,5522,2686
846,S,507,4984,2031
847,S,507,4761,2523
848,S,507,4727,2231
849,A,507,128271,0
850,D,507,102512,293
AVG,AVG,507,26952.1,1752.2
851,S,206,1689,826
852,S,206,1506,582
