Array_No,Type,Size,Comparisons,Swaps
AVG,AVG,204,2504.6,1386.2
831,S,633,9854,5344
832,S,633,9822,5314
833,S,633,9863,5342
834,S,633,9838,5336
835,S,633,9830,5327
836,S,633,9847,5317
837,S,633,9879,5366
838,S,633,9818,5298
839,A,633,10326,5731
840,D,633,9313,4893
AVG,AVG,633,9839,5326.8
841,S,507,7531,4094
842,S,507,7569,4121
843,S,507,7549,4112
844,S,507,7576,4120
845,S,507,7548,4108
846,S,507,7539,4108
847,S,507,7568,4096
848,S,507,7505,4091
849,A,507,7874,4395
850,D,507,7124,3736
AVG,AVG,507,7538.3,4098.1
851,S,206,2539,1403
852,S,206,2539,1411
853,S,206,2546,1422
854,S,206,2542,1417
855,S,206,2535,1399
856,S,206,2545,1420
857,S,206,2562,1412
858,S,206,2530,1393
859,A,206,2671,1528
860,D,206,2372,1262
AVG,AVG,206,2538.1,1406.7
861,S,541,8140,4410
862,S,541,8208,4479
863,S,541,8164,4447
864,S,541,8120,4409
865,S,541,8152,4442
866,S,541,8168,4448
867,S,541,8177,4460
868,S,541,8150,4417
869,A,541,8517,4756
870,D,541,7707,4058
AVG,AVG,541,8150.3,4432.6
871,S,638,9961,5410
872,S,638,9963,5393
873,S,638,9944,5381
874,S,638,9966,5410
875,S,638,9967,5403
876,S,638,9979,5407
877,S,638,9963,5412
878,S,638,9945,5380
879,A,638,10437,5810
880,D,638,9438,4927
AVG,AVG,638,9956.3,5393.3
881,S,268,3507,1907
882,S,268,3477,1918
883,S,268,3518,1932
884,S,268,3520,1947
885,S,268,3498,1925
886,S,268,3490,1923
887,S,268,3488,1904
888,S,268,3495,1936
889,A,268,3667,2086
890,D,268,3275,1738
AVG,AVG,268,3493.5,1921.6
891,S,997,16829,9091
892,S,997,16797,9052
893,S,997,16782,9044
894,S,997,16732,9006
895,S,997,16797,9078
896,S,997,16814,9070
897,S,997,16828,9055
898,S,997,16804,9067
899,A,997,17478,9650
900,D,997,15951,8344
AVG,AVG,997,16781.2,9045.7
901,S,443,6464,3522
902,S,443,6466,3547
903,S,443,6452,3519
904,S,443,6438,3518
905,S,443,6444,3509
906,S,443,6475,3516
907,S,443,6426,3509
908,S,443,6444,3508
909,A,443,6718,3757
910,D,443,6063,3187
AVG,AVG,443,6439,3509.2
911,S,838,13711,7427
912,S,838,13791,7473
913,S,838,13696,7394
914,S,838,13733,7404
