Array_No,Type,Size,Passes,Comparisons,Shifts
501,S,283,282,20720,20442
502,S,283,282,20077,19804
503,S,283,282,20981,20704
504,S,283,282,21581,21303
505,S,283,282,20584,20306
506,S,283,282,18973,18695
507,S,283,282,19673,19395
508,S,283,282,20571,20294
509,A,283,282,282,0
510,D,283,282,39902,39863
AVG,AVG,283,282,20334.4,20080.6
511,S,317,316,24761,24450
512,S,317,316,25579,25268
513,S,317,316,25377,25067
514,S,317,316,25771,25459
515,S,317,316,24764,24451
516,S,317,316,25230,24923
517,S,317,316,26299,25991
518,S,317,316,25633,25323
519,A,317,316,316,0
520,D,317,316,50081,50042
AVG,AVG,317,316,25381.1,25097.4
521,S,579,578,83355,82782
522,S,579,578,80203,79632
523,S,579,578,87712,87140
524,S,579,578,81279,80706
525,S,579,578,86175,85605
526,S,579,578,86997,86424
527,S,579,578,81315,80744
528,S,579,578,81577,81005
529,A,579,578,578,0
530,D,579,578,167316,167194
AVG,AVG,579,578,83650.7,83123.2
531,S,895,894,197244,196352
532,S,895,894,202308,201419
533,S,895,894,207935,207046
534,S,895,894,200627,199736
535,S,895,894,201847,200959
536,S,895,894,189184,188297
537,S,895,894,190330,189439
538,S,895,894,200212,199322
539,A,895,894,894,0
540,D,895,894,399936,399627
AVG,AVG,895,894,199052,198220
541,S,168,167,6506,6343
542,S,168,167,7161,6997
543,S,168,167,7097,6934
544,S,168,167,6516,6351
545,S,168,167,7136,6974
546,S,168,167,7070,6904
547,S,168,167,7998,7836
548,S,168,167,7054,6890
549,A,168,167,167,0
550,D,168,167,14027,14013
AVG,AVG,168,167,7073.2,6924.2
551,S,200,199,10189,9999
552,S,200,199,10216,10017
553,S,200,199,9690,9494
554,S,200,199,10073,9876
555,S,200,199,10091,9899
556,S,200,199,9831,9641
557,S,200,199,10230,10034
558,S,200,199,10599,10403
559,A,200,199,199,0
560,D,200,199,19898,19881
AVG,AVG,200,199,10101.6,9924.4
561,S,358,357,30511,30162
562,S,358,357,32440,32089
563,S,358,357,32209,31859
564,S,358,357,33707,33357
565,S,358,357,32400,32048
566,S,358,357,32665,32314
567,S,358,357,31215,30865
568,S,358,357,29811,29458
569,A,358,357,357,0
570,D,358,357,63901,63849
AVG,AVG,358,357,31921.6,31600.1
571,S,604,603,93500,92900
572,S,604,603,93803,93207
573,S,604,603,91025,90426
574,S,604,603,88590,87988
575,S,604,603,87422,86822
576,S,604,603,92380,91781
577,S,604,603,92277,91680
578,S,604,603,95374,94777
579,A,604,603,603,0
580,D,604,603,182084,181937
AVG,AVG,604,603,91705.8,91151.8
581,S,342,341,29234,28901
582,S,342,341,30375,30039
583,S,342,341,30966,30631
584,S,342,341,27662,27322
585,S,342,341,29098,28762
586,S,342,341,29135,28801
587,S,342,341,30655,30317
588,S,342,341,30601,30268
589,A,342,341,341,0
590,D,342,341,58309,58261
AVG,AVG,342,341,29637.6,29330.2
